rede,etapa,media_ideb,desvio_ideb,n_com_ideb
estadual,EF anos finais,4.927321328081035,0.6593109988900084,3554
federal,EF anos finais,6.526315789473684,0.8754948475406211,19
municipal,EF anos finais,4.58641627543036,0.821301879452836,3195
estadual,EF anos iniciais,6.007731092436975,0.8226957646882471,1190
federal,EF anos iniciais,6.785714285714286,0.305984270227039,14
municipal,EF anos iniciais,5.786510207975577,0.9486044663247551,5241
estadual,EM,4.145723879123049,0.544761504872939,5063
federal,EM,5.2315068493150685,0.7483087528606998,146
municipal,EM,4.395,0.975586608543409,40
